event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
514,34,Nottingham Forest,home, 58 ,Substitution, Remo Freuler , Ryan Yates 
515,34,Nottingham Forest,home, 59 ,Yellow card, Morgan Gibbs-White ,
516,34,Newcastle United,away, 66 ,Disallowed goal,Disallowed goal,
517,34,Nottingham Forest,home, 79 ,Substitution, Sam Surridge , André Ayew 
518,34,Nottingham Forest,home, 79 ,Substitution, Neco Williams , Emmanuel Dennis 
519,34,Newcastle United,away, 84 ,Substitution, Matt Ritchie , Jacob Murphy 
520,34,Nottingham Forest,home, 92 ,Yellow card, Jonjo Shelvey ,
521,34,Newcastle United,away, 93 ,Penalty, Alexander Isak , Penalty 
522,34,Nottingham Forest,home, 93 ,Yellow card, Keylor Navas ,
523,34,Nottingham Forest,home, 94 ,Substitution, Gustavo Scarpa , Jonjo Shelvey 
524,34,Nottingham Forest,home, 96 ,Yellow card, Renan Lodi ,
525,35,Newcastle United,home, 26 ,Goal, Alexander Isak , Kieran Trippier 
526,35,Wolverhampton Wanderers,away, 44 ,Yellow card, Daniel Podence ,
527,35,Wolverhampton Wanderers,away, 45 ,Substitution, Pedro Neto , Adama Traore 
528,35,Wolverhampton Wanderers,away, 58 ,Yellow card, Nelson Semedo ,
529,35,Newcastle United,home, 68 ,Yellow card, Alexander Isak ,
530,35,Newcastle United,home, 68 ,Substitution, Callum Wilson , Alexander Isak 
531,35,Newcastle United,home, 68 ,Substitution, Miguel Almirón , Allan Saint-Maximin 
532,35,Wolverhampton Wanderers,away, 68 ,Substitution, Matheus Nunes , Rúben Neves 
533,35,Wolverhampton Wanderers,away, 69 ,Substitution, Hwang Hee-chan , Daniel Podence 
534,35,Wolverhampton Wanderers,away, 69 ,Substitution, Rayan Aït-Nouri , Jonny Castro 
535,35,Wolverhampton Wanderers,away, 70 ,Goal, Hwang Hee-chan ,
536,35,Wolverhampton Wanderers,away, 75 ,Substitution, Nathan Collins , Joao Moutinho 
537,35,Newcastle United,home, 79 ,Goal, Miguel Almirón , Joe Willock 
538,35,Newcastle United,home, 85 ,Substitution, Matt Ritchie , Jacob Murphy 
539,36,Aston Villa,away, 17 ,Goal, Ollie Watkins , Alex Moreno 
540,36,West Ham United,home, 26 ,Penalty, Saïd Benrahma , Penalty 
541,36,Aston Villa,away, 64 ,Substitution, Lucas Digne , Alex Moreno 
542,36,Aston Villa,away, 64 ,Substitution, Bertrand Traore , Leon Bailey 
543,36,West Ham United,home, 70 ,Yellow card, Lucas Paquetá ,
