event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
1122,77,Feyenoord,home, 84 ,Substitution, Patrik Wålemark , Dávid Hancko 
1123,77,Feyenoord,home, 89 ,Yellow card, Oussama Idrissi ,
1124,77,PSV,away, 89 ,Yellow card, Richard Ledezma ,
1125,77,PSV,away, 89 ,Yellow card, Boy Waterman ,
1126,77,PSV,away, 91 ,Yellow card, Walter Benítez ,
1127,77,Feyenoord,home, 96 ,Goal, Alireza Jahanbakhsh , Oussama Idrissi 
1128,77,PSV,away, 99 ,Yellow card, Fábio Silva ,
1129,78,Ajax,away, 16 ,Goal, Dušan Tadić , Davy Klaassen 
1130,78,Ajax,away, 36 ,Goal, Steven Berghuis , Mohammed Kudus 
1131,78,Cambuur,home, 45 ,Substitution, Mitchel Paulissen , Floris Smand 
1132,78,Cambuur,home, 58 ,Substitution, Bjørn Johnsen , Silvester van der Water 
1133,78,Cambuur,home, 58 ,Substitution, Remco Balk , Mees Hoedemakers 
1134,78,Ajax,away, 59 ,Yellow card, Owen Wijndal ,
1135,78,Cambuur,home, 60 ,Yellow card, Michael Breij ,
1136,78,Ajax,away, 64 ,Goal, Steven Berghuis , Dušan Tadić 
1137,78,Cambuur,home, 68 ,Yellow card, Remco Balk ,
1138,78,Cambuur,home, 71 ,Yellow card, Alex Bangura ,
1139,78,Ajax,away, 73 ,Substitution, Brian Brobbey , Dušan Tadić 
1140,78,Ajax,away, 73 ,Substitution, Jorrel Hato , Owen Wijndal 
1141,78,Cambuur,home, 74 ,Substitution, Mimoun Mahi , Michael Breij 
1142,78,Ajax,away, 79 ,Goal, Brian Brobbey ,
1143,78,Cambuur,home, 80 ,Substitution, Vincent Pichel , Navarone Foor 
1144,78,Ajax,away, 85 ,Substitution, Youri Regeer , Kenneth Taylor 
1145,78,Ajax,away, 86 ,Substitution, Kian Fitz-Jim , Devyne Rensch 
1146,78,Ajax,away, 86 ,Substitution, Francisco Conceição , Davy Klaassen 
1147,78,Ajax,away, 93 ,Goal, Brian Brobbey , Steven Berghuis 
1148,79,Waalwijk,away, 40 ,Yellow card, Mats Seuntjens ,
1149,79,Excelsior,home, 45 ,Substitution, Vicente Besuijen , Lazaros Lamprou 
1150,79,Excelsior,home, 45 ,Substitution, Julian Baas , Couhaib Driouech 
1151,79,Waalwijk,away, 68 ,Substitution, Michiel Kramer , Julen Lobete 
1152,79,Waalwijk,away, 68 ,Substitution, Yassin Oukili , Pelle Clement 
1153,79,Excelsior,home, 68 ,Substitution, Mike van Duinen , Reda Kharchouch 
