event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
253,17,Real Sociedad,away, 75 ,Substitution, Mohamed Cho , Takefusa Kubo 
254,17,Real Sociedad,away, 80 ,Yellow card, Andoni Gorosabel ,
255,17,Real Sociedad,away, 83 ,Substitution, Beñat Turrientes , David Silva 
256,17,Real Sociedad,away, 83 ,Substitution, Álex Sola , Andoni Gorosabel 
257,17,Real Sociedad,away, 85 ,Yellow card, Martín Zubimendi ,
258,17,Roma,home, 87 ,Goal, Marash Kumbulla , Paulo Dybala 
259,17,Roma,home, 88 ,Substitution, Edoardo Bove , Paulo Dybala 
260,17,Roma,home, 94 ,Yellow card, Nemanja Matic ,
261,17,Real Sociedad,away, 94 ,Yellow card, Mikel Oyarzabal ,
262,18,Bayer Leverkusen,home, 9 ,Goal, Kerem Demirbay , Florian Wirtz 
263,18,Bayer Leverkusen,home, 38 ,Yellow card, Kerem Demirbay ,
264,18,Ferencváros,away, 45 ,Yellow card, Marquinhos ,
265,18,Ferencváros,away, 49 ,Yellow card, Kristoffer Zachariassen ,
266,18,Bayer Leverkusen,home, 60 ,Substitution, Amine Adli , Sardar Azmoun 
267,18,Bayer Leverkusen,home, 71 ,Substitution, Adam Hložek , Moussa Diaby 
268,18,Ferencváros,away, 75 ,Yellow card, Endre Botka ,
269,18,Bayer Leverkusen,home, 75 ,Yellow card, Florian Wirtz ,
270,18,Ferencváros,away, 78 ,Substitution, Amer Gojak , Marquinhos 
271,18,Bayer Leverkusen,home, 83 ,Yellow card, Odilon Kossounou ,
272,18,Bayer Leverkusen,home, 86 ,Goal, Edmond Tapsoba ,
273,18,Ferencváros,away, 87 ,Substitution, Nikolai Frederiksen , Adama Traoré 
274,18,Ferencváros,away, 87 ,Substitution, Henry Wingo , Endre Botka 
275,18,Bayer Leverkusen,home, 89 ,Substitution, Patrik Schick , Florian Wirtz 
276,18,Ferencváros,away, 93 ,Yellow card, Eldar Ćivić ,
277,19,R. Union SG,away, 20 ,Yellow card, Yorbe Vertessen ,
278,19,R. Union SG,away, 28 ,Goal, Victor Boniface , Yorbe Vertessen 
279,19,1. FC Union Berlin,home, 42 ,Goal, Josip Juranović ,
280,19,R. Union SG,away, 53 ,Yellow card, Senne Lynen ,
281,19,R. Union SG,away, 58 ,Goal, Yorbe Vertessen , Loïc Lapoussin 
282,19,1. FC Union Berlin,home, 63 ,Substitution, Aïssa Laïdouni , Janik Haberer 
283,19,1. FC Union Berlin,home, 64 ,Substitution, Jordan Siebatcheu , Kevin Behrens 
284,19,R. Union SG,away, 68 ,Yellow card, Christian Burgess ,
285,19,1. FC Union Berlin,home, 69 ,Missed penalty, Robin Knoche , Missed penalty 
286,19,1. FC Union Berlin,home, 69 ,Goal, Robin Knoche ,
287,19,R. Union SG,away, 72 ,Goal, Victor Boniface , Bart Nieuwkoop 
